Date,Year,Month,Product_Code,Daily_Net_Demand,Positive_Demand,Negative_Adjustment,Order_Records
2014-01-06,2014,2014-01,Product_1248,468000,468000,0,7
2014-01-06,2014,2014-01,Product_1359,523000,523000,0,29
2014-01-07,2014,2014-01,Product_1248,35000,35000,0,6
2014-01-07,2014,2014-01,Product_1359,407000,407000,0,14
2014-01-08,2014,2014-01,Product_1248,116000,116000,0,9
2014-01-08,2014,2014-01,Product_1359,622000,622000,0,22
2014-01-09,2014,2014-01,Product_1248,487000,487000,0,6
2014-01-09,2014,2014-01,Product_1359,277000,277000,0,19
2014-01-10,2014,2014-01,Product_1248,216000,216000,0,6
2014-01-10,2014,2014-01,Product_1359,263000,263000,0,12
2014-01-14,2014,2014-01,Product_1248,553000,553000,0,7
2014-01-14,2014,2014-01,Product_1359,310000,310000,0,17
2014-01-15,2014,2014-01,Product_1248,14000,14000,0,3
2014-01-15,2014,2014-01,Product_1359,554000,554000,0,19
2014-01-16,2014,2014-01,Product_1248,255000,255000,0,4
2014-01-16,2014,2014-01,Product_1359,702000,702000,0,16
2014-01-17,2014,2014-01,Product_1248,326000,326000,0,7
2014-01-17,2014,2014-01,Product_1359,385000,385000,0,18
2014-01-20,2014,2014-01,Product_1248,324000,324000,0,7
2014-01-20,2014,2014-01,Product_1359,414000,414000,0,18
2014-01-21,2014,2014-01,Product_1248,161000,161000,0,4
2014-01-21,2014,2014-01,Product_1359,693000,693000,0,18
2014-01-22,2014,2014-01,Product_1248,212000,212000,0,7
2014-01-22,2014,2014-01,Product_1359,143000,143000,0,9
2014-01-23,2014,2014-01,Product_1248,413000,413000,0,8
2014-01-23,2014,2014-01,Product_1359,223000,223000,0,11
2014-01-24,2014,2014-01,Product_1248,252000,252000,0,5
2014-01-24,2014,2014-01,Product_1359,457000,457000,0,23
2014-01-27,2014,2014-01,Product_1248,246000,246000,0,5
2014-01-27,2014,2014-01,Product_1359,340000,340000,0,16
2014-01-28,2014,2014-01,Product_1248,51000,51000,0,4
2014-01-28,2014,2014-01,Product_1359,242000,242000,0,14
2014-01-29,2014,2014-01,Product_1248,27000,27000,0,4
2014-01-29,2014,2014-01,Product_1359,640000,640000,0,11
2014-01-30,2014,2014-01,Product_1359,136000,136000,0,8
2014-01-31,2014,2014-01,Product_1248,90000,90000,0,7
2014-01-31,2014,2014-01,Product_1359,457000,457000,0,16
2014-02-03,2014,2014-02,Product_1248,177000,177000,0,6
2014-02-03,2014,2014-02,Product_1359,1415000,1415000,0,22
2014-02-04,2014,2014-02,Product_1248,2000,2000,0,1
2014-02-04,2014,2014-02,Product_1359,678000,678000,0,21
2014-02-05,2014,2014-02,Product_1248,215000,215000,0,8
2014-02-05,2014,2014-02,Product_1359,1125000,1125000,0,19
2014-02-06,2014,2014-02,Product_1248,207000,207000,0,6
2014-02-06,2014,2014-02,Product_1359,296000,296000,0,15
2014-02-09,2014,2014-02,Product_1359,75000,75000,0,1
2014-02-10,2014,2014-02,Product_1248,449000,449000,0,12
2014-02-10,2014,2014-02,Product_1359,406000,406000,0,27
2014-02-12,2014,2014-02,Product_1248,1172000,1172000,0,10
2014-02-12,2014,2014-02,Product_1359,157000,157000,0,15
2014-02-13,2014,2014-02,Product_1248,18000,18000,0,3
2014-02-13,2014,2014-02,Product_1359,353000,353000,0,14
2014-02-14,2014,2014-02,Product_1248,37000,37000,0,3
2014-02-14,2014,2014-02,Product_1359,191000,191000,0,10
2014-02-17,2014,2014-02,Product_1248,461000,461000,0,11
2014-02-17,2014,2014-02,Product_1359,490000,490000,0,18
2014-02-18,2014,2014-02,Product_1248,3000,3000,0,1
2014-02-18,2014,2014-02,Product_1359,460000,460000,0,11
2014-02-19,2014,2014-02,Product_1248,664000,664000,0,13
2014-02-19,2014,2014-02,Product_1359,359000,359000,0,17
2014-02-20,2014,2014-02,Product_1248,405000,405000,0,2
2014-02-20,2014,2014-02,Product_1359,100000,100000,0,14
2014-02-21,2014,2014-02,Product_1248,182000,182000,0,13
2014-02-21,2014,2014-02,Product_1359,513000,513000,0,27
2014-02-24,2014,2014-02,Product_1248,237000,237000,0,4
2014-02-24,2014,2014-02,Product_1359,207000,207000,0,11
2014-02-25,2014,2014-02,Product_1248,384000,384000,0,7
2014-02-25,2014,2014-02,Product_1359,166000,166000,0,14
2014-02-26,2014,2014-02,Product_1248,510000,510000,0,7
2014-02-26,2014,2014-02,Product_1359,261000,261000,0,10
2014-02-27,2014,2014-02,Product_1248,85000,85000,0,4
2014-02-27,2014,2014-02,Product_1359,219000,219000,0,13
2014-02-28,2014,2014-02,Product_1248,135000,135000,0,4
2014-02-28,2014,2014-02,Product_1359,347000,347000,0,16
2014-03-03,2014,2014-03,Product_1248,551000,551000,0,6
2014-03-03,2014,2014-03,Product_1359,878000,878000,0,21
2014-03-04,2014,2014-03,Product_1248,38000,38000,0,3
2014-03-04,2014,2014-03,Product_1359,306000,306000,0,23
2014-03-05,2014,2014-03,Product_1248,39000,39000,0,7
2014-03-05,2014,2014-03,Product_1359,230000,230000,0,12
2014-03-06,2014,2014-03,Product_1248,144000,144000,0,10
2014-03-06,2014,2014-03,Product_1359,1244000,1244000,0,21
2014-03-07,2014,2014-03,Product_1248,401000,401000,0,6
2014-03-07,2014,2014-03,Product_1359,266000,266000,0,13
2014-03-10,2014,2014-03,Product_1248,51000,51000,0,2
2014-03-10,2014,2014-03,Product_1359,310000,310000,0,11
2014-03-11,2014,2014-03,Product_1248,51000,51000,0,2
2014-03-11,2014,2014-03,Product_1359,741000,741000,0,15
2014-03-12,2014,2014-03,Product_1248,116000,116000,0,4
2014-03-12,2014,2014-03,Product_1359,400000,400000,0,17
2014-03-13,2014,2014-03,Product_1248,8000,8000,0,2
2014-03-13,2014,2014-03,Product_1359,72000,72000,0,6
2014-03-14,2014,2014-03,Product_1248,172000,172000,0,6
2014-03-14,2014,2014-03,Product_1359,233000,233000,0,15
2014-03-16,2014,2014-03,Product_1248,80000,80000,0,1
2014-03-17,2014,2014-03,Product_1248,57000,57000,0,9
2014-03-17,2014,2014-03,Product_1359,319000,319000,0,16
2014-03-18,2014,2014-03,Product_1248,85000,85000,0,5
2014-03-18,2014,2014-03,Product_1359,1005000,1005000,0,13
2014-03-19,2014,2014-03,Product_1248,18000,18000,0,1
2014-03-19,2014,2014-03,Product_1359,811000,811000,0,13
2014-03-20,2014,2014-03,Product_1248,145000,145000,0,6
2014-03-20,2014,2014-03,Product_1359,587000,587000,0,23
2014-03-24,2014,2014-03,Product_1248,607000,607000,0,13
2014-03-24,2014,2014-03,Product_1359,272000,272000,0,23
2014-03-25,2014,2014-03,Product_1248,161000,161000,0,4
2014-03-25,2014,2014-03,Product_1359,600000,600000,0,15
2014-03-26,2014,2014-03,Product_1248,613000,613000,0,7
2014-03-26,2014,2014-03,Product_1359,568000,568000,0,19
2014-03-27,2014,2014-03,Product_1248,45000,45000,0,3
2014-03-27,2014,2014-03,Product_1359,77000,77000,0,7
2014-03-28,2014,2014-03,Product_1248,2005000,2005000,0,4
2014-03-28,2014,2014-03,Product_1359,32000,32000,0,3
2014-03-31,2014,2014-03,Product_1248,563000,563000,0,7
2014-03-31,2014,2014-03,Product_1359,238000,238000,0,17
2014-04-01,2014,2014-04,Product_1248,19000,19000,0,4
2014-04-01,2014,2014-04,Product_1359,435000,435000,0,17
2014-04-02,2014,2014-04,Product_1248,373000,373000,0,8
2014-04-02,2014,2014-04,Product_1359,258000,258000,0,16
2014-04-03,2014,2014-04,Product_1248,275000,275000,0,4
2014-04-03,2014,2014-04,Product_1359,225000,225000,0,9
2014-04-04,2014,2014-04,Product_1248,121000,121000,0,4
2014-04-04,2014,2014-04,Product_1359,660000,660000,0,19
2014-04-07,2014,2014-04,Product_1248,19000,19000,0,3
2014-04-07,2014,2014-04,Product_1359,367000,367000,0,9
2014-04-08,2014,2014-04,Product_1248,225000,225000,0,6
2014-04-08,2014,2014-04,Product_1359,191000,191000,0,9
2014-04-09,2014,2014-04,Product_1248,334000,334000,0,8
2014-04-09,2014,2014-04,Product_1359,313000,313000,0,15
2014-04-10,2014,2014-04,Product_1248,134000,134000,0,5
2014-04-10,2014,2014-04,Product_1359,348000,348000,0,9
2014-04-11,2014,2014-04,Product_1248,153000,153000,0,5
2014-04-11,2014,2014-04,Product_1359,281000,281000,0,12
2014-04-14,2014,2014-04,Product_1248,125000,125000,0,5
2014-04-14,2014,2014-04,Product_1359,317000,317000,0,12
2014-04-15,2014,2014-04,Product_1248,738000,738000,0,8
2014-04-15,2014,2014-04,Product_1359,335000,335000,0,12
2014-04-16,2014,2014-04,Product_1248,62000,62000,0,6
2014-04-16,2014,2014-04,Product_1359,859000,859000,0,10
2014-04-17,2014,2014-04,Product_1248,402000,402000,0,3
2014-04-17,2014,2014-04,Product_1359,683000,683000,0,11
2014-04-18,2014,2014-04,Product_1248,136000,136000,0,7
2014-04-18,2014,2014-04,Product_1359,249000,249000,0,22
2014-04-21,2014,2014-04,Product_1248,1115000,1115000,0,15
2014-04-21,2014,2014-04,Product_1359,166000,166000,0,13
2014-04-22,2014,2014-04,Product_1248,170000,170000,0,4
2014-04-22,2014,2014-04,Product_1359,211000,211000,0,12
2014-04-23,2014,2014-04,Product_1248,229000,229000,0,10
2014-04-23,2014,2014-04,Product_1359,81000,81000,0,6
2014-04-24,2014,2014-04,Product_1248,58000,58000,0,4
2014-04-24,2014,2014-04,Product_1359,210000,210000,0,13
2014-04-25,2014,2014-04,Product_1248,13000,13000,0,5
2014-04-25,2014,2014-04,Product_1359,462000,462000,0,11
2014-04-28,2014,2014-04,Product_1248,190000,190000,0,4
2014-04-28,2014,2014-04,Product_1359,975000,975000,0,11
2014-04-30,2014,2014-04,Product_1248,2270000,2270000,0,5
2014-04-30,2014,2014-04,Product_1359,236000,237000,1000,13
2014-05-01,2014,2014-05,Product_1248,56000,56000,0,4
2014-05-01,2014,2014-05,Product_1359,422000,422000,0,16
2014-05-02,2014,2014-05,Product_1248,543000,543000,0,3
2014-05-02,2014,2014-05,Product_1359,274000,274000,0,7
2014-05-07,2014,2014-05,Product_1248,810000,810000,0,6
2014-05-07,2014,2014-05,Product_1359,235000,235000,0,9
2014-05-08,2014,2014-05,Product_1248,163000,163000,0,4
2014-05-08,2014,2014-05,Product_1359,257000,257000,0,12
